Date,Open,High,Low,Volume,Close
2018-04-27,316.25,317.450012,306.5,7074400,311.76001
2018-04-30,311.070007,317.880005,310.119995,6088800,312.459991
2018-05-01,310.359985,313.480011,306.690002,6036600,313.299988
2018-05-02,311.649994,317.100006,310.399994,5697100,313.359985
2018-05-03,312.589996,312.589996,305.730011,6135800,311.690002
2018-05-04,308.709991,320.980011,307.670013,8209500,320.089996
2018-05-07,321.98999,329.019989,319.339996,7117800,326.26001
2018-05-08,325.899994,327.350006,323.049988,4735700,326.890015
2018-05-09,328.790009,331.950012,327.51001,5633400,330.299988
2018-05-10,331.5,332.059998,327.339996,5302300,329.600006
2018-05-11,329.649994,331.26001,324.869995,4589700,326.459991
2018-05-14,327.25,330.5,327.040009,4089800,328.529999
2018-05-15,325.940002,326.940002,322.429993,4746100,326.130005
2018-05-16,326.279999,329.720001,325.140015,3671700,328.190002
2018-05-17,327.529999,330.450012,323.170013,4935700,325.220001
2018-05-18,324.899994,326.420013,322.799988,3577700,324.179993
2018-05-21,327.109985,331.880005,325.450012,6657300,331.820007
2018-05-22,334.049988,336.630005,331.149994,5964400,331.619995
2018-05-23,329.040009,345.0,328.089996,10049100,344.720001
2018-05-24,344.339996,354.0,341.119995,14758600,349.290009
2018-05-25,349.899994,354.359985,348.829987,7817400,351.290009
2018-05-29,351.5,356.100006,346.709991,9717900,349.730011
2018-05-30,352.369995,354.0,349.26001,5685500,353.540009
2018-05-31,353.799988,355.529999,350.209991,6921700,351.600006
2018-06-01,353.880005,359.98999,352.820007,7112300,359.929993
2018-06-04,362.679993,363.0,355.51001,7682000,361.809998
2018-06-05,363.320007,369.829987,361.410004,8358000,365.799988
2018-06-06,367.779999,369.679993,363.329987,7712300,367.450012
2018-06-07,368.540009,368.700012,357.799988,8278000,361.399994
2018-06-08,358.059998,362.390015,356.25,5225700,360.570007
2018-06-11,361.880005,365.670013,360.910004,4432400,361.450012
2018-06-12,363.600006,365.980011,362.0,4291000,363.829987
2018-06-13,367.529999,384.25,364.109985,18222800,379.929993
