Date,Open,High,Low,Close,Volume,등락률
2020-01-02,2918,2969,2853,2957,2941870,1.7549896765313144
2020-01-03,2950,2950,2879,2912,2092980,-1.5218126479540075
2020-01-06,2827,2975,2801,2944,3307245,1.098901098901099
2020-01-07,2931,2995,2892,2899,1961025,-1.528532608695652
2020-01-08,2879,2899,2763,2783,3402040,-4.00137978613315
2020-01-09,2892,2969,2853,2970,2899450,6.719367588932807
2020-01-10,3009,3106,2976,3055,4637820,2.861952861952862
2020-01-13,3067,3099,3002,3029,2617980,-0.851063829787234
2020-01-14,3086,3131,2983,3003,2711080,-0.8583690987124464
2020-01-15,3008,3015,2950,2990,1592285,-0.4329004329004329
2020-01-16,2976,3034,2976,2996,1157300,0.2006688963210702
2020-01-17,3034,3060,2976,2977,1615605,-0.6341789052069425
2020-01-20,2989,3073,2989,3035,2948275,1.948270070540813
2020-01-21,3014,3034,2924,2944,2299135,-2.9983525535420097
2020-01-22,2963,2982,2931,2951,1779805,0.2377717391304348
2020-01-23,2957,3021,2925,2938,2570575,-0.4405286343612335
2020-01-28,2782,2834,2711,2783,4056710,-5.275697753573859
2020-01-29,2821,2827,2737,2757,1944265,-0.9342436219906577
2020-01-30,2814,2878,2743,2750,2687445,-0.25389916575988397
2020-01-31,2788,2801,2646,2653,2171880,-3.5272727272727273
2020-02-03,2594,3125,2562,2951,22183225,11.232566905390124
2020-02-04,3079,3099,2943,3035,6387255,2.846492714334124
2020-02-05,3118,3163,2989,3074,9056915,1.28500823723229
2020-02-06,3028,3228,3021,3216,8043875,4.619388418998048
2020-02-07,3326,3403,3267,3333,12098315,3.6380597014925375
2020-02-10,3267,3396,3241,3339,5227040,0.18001800180018002
2020-02-11,3390,3636,3364,3598,17196760,7.756813417190776
2020-02-12,3610,3695,3559,3605,7876265,0.19455252918287938
2020-02-13,3611,3695,3565,3618,5518650,0.36061026352288483
2020-02-14,3643,3708,3559,3579,4780895,-1.077943615257048
2020-02-17,3494,3578,3410,3540,5327670,-1.0896898575020955
2020-02-18,3500,3552,3390,3404,4831900,-3.84180790960452
2020-02-19,3481,3513,3339,3443,4027015,1.1457109283196238
2020-02-20,3455,3487,3319,3475,5060565,0.9294220156839965
2020-02-21,3377,3422,3273,3313,4276780,-4.661870503597123
2020-02-24,3163,3273,3157,3177,5029070,-4.105040748566254
2020-02-25,3157,3287,3131,3262,3743225,2.6754800125904943
2020-02-26,3170,3255,3158,3223,2787825,-1.195585530349479
2020-02-27,3216,3293,3080,3087,3439000,-4.219671113869066
2020-02-28,3001,3072,2930,2944,4263835,-4.63232912212504
2020-03-02,2989,3125,2924,3106,3846075,5.502717391304348
2020-03-03,3235,3241,3073,3087,3631055,-0.6117192530585963
2020-03-04,3034,3228,3028,3216,3775465,4.178814382896015
2020-03-05,3286,3293,3163,3216,2929970,0.0
2020-03-06,3150,3183,3099,3164,2260005,-1.616915422885572
2020-03-09,3073,3093,2937,2977,3111905,-5.910240202275601
2020-03-10,2931,3073,2899,3068,4300620,3.056768558951965
2020-03-11,3073,3073,2899,2925,3083135,-4.661016949152542
2020-03-12,2878,2937,2678,2737,5038340,-6.427350427350427
2020-03-13,2529,2691,2271,2511,8022005,-8.2572159298502
2020-03-16,2587,2627,2335,2336,4519885,-6.969334926324174
2020-03-17,2154,2471,2154,2459,5186060,5.26541095890411
2020-03-18,2484,2497,2212,2213,4181825,-10.00406669377796
2020-03-19,2290,2322,1785,1799,8106180,-18.707636692272935
2020-03-20,1921,2089,1856,2090,5496190,16.175653140633685
2020-03-23,1960,2083,1895,1967,4604195,-5.885167464114833
2020-03-24,2089,2160,2031,2161,4439295,9.862735129639045
2020-03-25,2302,2354,2193,2284,4657735,5.691809347524295
2020-03-26,2297,2355,2213,2233,4376405,-2.23292469352014
2020-03-27,2335,2341,2160,2245,4099045,0.5373936408419167
2020-03-30,2154,2289,2147,2284,2288550,1.7371937639198218
2020-03-31,2335,2335,2245,2304,3175020,0.8756567425569177
2020-04-01,2264,2420,2232,2239,4286010,-2.821180555555556
2020-04-02,2277,2336,2200,2330,2790135,4.064314426083073
2020-04-03,2413,2432,2303,2349,4376160,0.8154506437768241
2020-04-06,2360,2451,2309,2452,4414915,4.384844614729673
2020-04-07,2574,2574,2458,2517,5605650,2.65089722675367
2020-04-08,2498,2620,2472,2537,5415770,0.7945967421533572
2020-04-09,2600,2620,2536,2543,3036890,0.2364998029168309
2020-04-10,2562,2562,2439,2517,2636340,-1.0224144710971292
2020-04-13,2504,2504,2413,2414,2638010,-4.092173222089789
2020-04-14,2510,2568,2484,2530,4076395,4.8053024026512015
2020-04-16,2537,2640,2498,2615,4559570,3.3596837944664033
2020-04-17,2698,2743,2659,2686,4242690,2.7151051625239004
2020-04-20,2685,2711,2640,2660,2649285,-0.967982129560685
2020-04-21,2627,2665,2517,2608,3547105,-1.954887218045113
2020-04-22,2536,2607,2516,2588,1918385,-0.7668711656441718
2020-04-23,2639,2646,2581,2627,2053450,1.5069551777434311
2020-04-24,2594,2607,2549,2569,1380095,-2.2078416444613627
2020-04-27,2594,2620,2555,2601,1301795,1.2456208641494744
2020-04-28,2645,2658,2568,2588,1501470,-0.4998077662437524
2020-04-29,2601,2615,2575,2615,1208790,1.0432766615146831
2020-05-04,2562,2626,2549,2582,1034295,-1.2619502868068833
2020-05-06,2614,2634,2569,2634,1377375,2.0139426800929514
2020-05-07,2614,2665,2607,2653,1678625,0.721336370539104
2020-05-08,2684,2742,2652,2724,2544750,2.6762156049754995
2020-05-11,2763,2769,2672,2673,2010025,-1.8722466960352422
2020-05-12,2671,2684,2587,2640,1729215,-1.2345679012345678
2020-05-13,2595,3125,2588,2932,16892495,11.06060606060606
2020-05-14,2924,2944,2827,2867,3768350,-2.2169167803547065
2020-05-15,2898,2904,2782,2873,2421975,0.20927799093128704
2020-05-18,2892,3047,2860,3003,6791385,4.524886877828054
2020-05-19,3080,3112,2983,3003,3538330,0.0
2020-05-20,3002,3093,2957,3087,3041255,2.797202797202797
2020-05-21,3151,3261,3099,3100,6428210,0.4211208292840946
2020-05-22,3125,3189,3002,3048,3562920,-1.6774193548387095
2020-05-25,3093,3390,3073,3346,11655485,9.776902887139109
2020-05-26,3442,3584,3364,3436,8977965,2.6897788404064555
2020-05-27,3416,3513,3338,3378,4378710,-1.6880093131548313
2020-05-28,3403,3416,3138,3229,5149190,-4.410894020130255
2020-05-29,3170,3286,3151,3158,3677470,-2.198823165066584
2020-06-01,3203,3521,3190,3521,9908930,11.49461684610513
2020-06-02,3584,3772,3572,3650,14355890,3.6637318943481967
2020-06-03,3714,3727,3526,3624,6134985,-0.7123287671232876
2020-06-04,3689,4154,3689,4110,27615135,13.410596026490065
2020-06-05,4167,4219,3986,4155,8753495,1.094890510948905
2020-06-08,4154,4232,4051,4142,5570610,-0.3128760529482551
2020-06-09,4252,4498,4220,4259,13859315,2.8247223563495893
2020-06-10,4207,4310,4142,4259,4990770,0.0
2020-06-11,4452,4452,4226,4259,8699840,0.0
2020-06-12,3934,4193,3928,4194,8101120,-1.5261798544259215
2020-06-15,4141,4154,3733,3734,8460665,-10.968049594659037
2020-06-16,3927,4011,3869,3993,5284900,6.93626138189609
2020-06-17,3947,4232,3935,4084,9328900,2.2789882294014525
2020-06-18,4083,4128,3986,4019,3856185,-1.5915768854064642
2020-06-19,4071,4135,3999,4123,3606525,2.5877083851704406
2020-06-22,4083,4167,4044,4103,3371330,-0.4850836769342712
2020-06-23,4160,4245,4031,4103,4613085,0.0
2020-06-24,4160,4167,4076,4103,2479465,0.0
2020-06-25,3992,4154,3992,4103,3690730,0.0
2020-06-26,4167,4180,3908,3967,5197215,-3.314647818669266
2020-06-29,3850,3921,3779,3825,3741350,-3.5795311318376606
2020-06-30,3934,3973,3766,3812,2423565,-0.33986928104575165
2020-07-01,3882,3967,3792,3825,2677000,0.3410283315844701
2020-07-02,3902,3934,3818,3909,1869500,2.196078431372549
2020-07-03,3993,4109,3967,4013,4237770,2.6605269889997443
2020-07-06,4056,4172,3992,4135,4664085,3.040119611263394
2020-07-07,4231,4244,4018,4038,4183230,-2.3458282950423217
